epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,114.091,0.64214,0.42646,0.94294,0.99922,1,0.995,0.86564,0.56594,0.3132,0.88048,0.0009308,0.0009308,0.0009308
56,116.089,0.67133,0.47236,0.95959,0.99911,1,0.995,0.85891,0.56236,0.31617,0.88338,0.000911,0.000911,0.000911
57,118.046,0.60626,0.41693,0.92297,0.99907,1,0.995,0.86184,0.56498,0.30786,0.88038,0.0008912,0.0008912,0.0008912
58,120.076,0.6122,0.4209,0.9241,0.99864,1,0.995,0.87704,0.52351,0.30044,0.86541,0.0008714,0.0008714,0.0008714
59,122.034,0.57565,0.40869,0.9106,0.99864,1,0.995,0.87628,0.58223,0.30994,0.87421,0.0008516,0.0008516,0.0008516
60,124.067,0.63154,0.4398,0.93608,0.99736,1,0.995,0.88056,0.52043,0.31166,0.8621,0.0008318,0.0008318,0.0008318
61,126.053,0.61278,0.39972,0.92517,0.99868,1,0.995,0.87783,0.53877,0.29212,0.86499,0.000812,0.000812,0.000812
62,128.069,0.58718,0.41625,0.91973,0.99871,1,0.995,0.87033,0.54183,0.30102,0.87072,0.0007922,0.0007922,0.0007922
63,130.083,0.58633,0.39132,0.90913,0.9988,1,0.995,0.88146,0.52657,0.29791,0.8672,0.0007724,0.0007724,0.0007724
64,132.116,0.60864,0.39343,0.91899,0.999,1,0.995,0.88188,0.52149,0.29026,0.87309,0.0007526,0.0007526,0.0007526
65,134.199,0.59895,0.39262,0.91547,0.99882,1,0.995,0.87326,0.52912,0.28006,0.87533,0.0007328,0.0007328,0.0007328
66,136.236,0.62448,0.40837,0.93626,0.99814,1,0.995,0.87227,0.53029,0.28575,0.87383,0.000713,0.000713,0.000713
67,138.21,0.61159,0.39741,0.93225,0.9985,1,0.995,0.87867,0.52257,0.28287,0.85882,0.0006932,0.0006932,0.0006932
68,140.25,0.60471,0.39351,0.92467,0.99907,1,0.995,0.88559,0.51569,0.28872,0.85364,0.0006734,0.0006734,0.0006734
69,142.281,0.64025,0.41031,0.93351,0.99892,1,0.995,0.88063,0.53227,0.28733,0.86714,0.0006536,0.0006536,0.0006536
70,144.325,0.60867,0.41081,0.9254,0.99876,1,0.995,0.88002,0.54129,0.28711,0.87482,0.0006338,0.0006338,0.0006338
71,146.364,0.59508,0.39104,0.91788,0.99881,1,0.995,0.87664,0.53638,0.27154,0.87975,0.000614,0.000614,0.000614
72,148.376,0.5759,0.38717,0.90898,0.99882,1,0.995,0.86466,0.54708,0.27994,0.88512,0.0005942,0.0005942,0.0005942
73,150.354,0.57857,0.38189,0.91151,0.99878,1,0.995,0.87895,0.53864,0.27012,0.87697,0.0005744,0.0005744,0.0005744
74,152.397,0.5692,0.36848,0.89809,0.9989,1,0.995,0.88724,0.51259,0.2724,0.86695,0.0005546,0.0005546,0.0005546
75,154.441,0.54302,0.34991,0.89226,0.99897,1,0.995,0.87793,0.53417,0.28445,0.87413,0.0005348,0.0005348,0.0005348
76,156.512,0.55847,0.35869,0.8967,0.99897,1,0.995,0.8754,0.52307,0.27706,0.86819,0.000515,0.000515,0.000515
77,158.479,0.59083,0.37491,0.92814,0.99899,1,0.995,0.88413,0.51184,0.27232,0.86584,0.0004952,0.0004952,0.0004952
78,160.448,0.55413,0.36244,0.90697,0.99896,1,0.995,0.88424,0.52899,0.26781,0.87205,0.0004754,0.0004754,0.0004754
79,162.459,0.54183,0.34981,0.90807,0.99893,1,0.995,0.88653,0.5152,0.27218,0.8598,0.0004556,0.0004556,0.0004556
80,164.478,0.52992,0.3616,0.91158,0.99899,1,0.995,0.88634,0.51016,0.26651,0.85546,0.0004358,0.0004358,0.0004358
81,166.473,0.56017,0.35856,0.89398,0.99897,1,0.995,0.87733,0.517,0.25879,0.86013,0.000416,0.000416,0.000416
82,168.481,0.56963,0.35653,0.91658,0.999,1,0.995,0.88908,0.50515,0.25628,0.85835,0.0003962,0.0003962,0.0003962
83,170.523,0.55779,0.3501,0.9025,0.99898,1,0.995,0.87997,0.51631,0.25716,0.86498,0.0003764,0.0003764,0.0003764
84,172.522,0.55425,0.34645,0.93461,0.99898,1,0.995,0.87956,0.51713,0.25973,0.86689,0.0003566,0.0003566,0.0003566
85,174.513,0.54379,0.33971,0.89726,0.999,1,0.995,0.88373,0.51186,0.267,0.86322,0.0003368,0.0003368,0.0003368
86,176.578,0.54571,0.33258,0.89809,0.999,1,0.995,0.89069,0.50728,0.2584,0.85936,0.000317,0.000317,0.000317
87,178.601,0.52681,0.33219,0.90095,0.99899,1,0.995,0.89596,0.49759,0.25293,0.85889,0.0002972,0.0002972,0.0002972
88,180.605,0.56303,0.35628,0.92117,0.999,1,0.995,0.88498,0.50585,0.25674,0.86203,0.0002774,0.0002774,0.0002774
89,182.577,0.52136,0.33342,0.89557,0.99898,1,0.995,0.89236,0.50361,0.25394,0.85992,0.0002576,0.0002576,0.0002576
90,184.609,0.48214,0.31397,0.8781,0.99901,1,0.995,0.89119,0.50395,0.25258,0.86109,0.0002378,0.0002378,0.0002378
91,201.594,0.42871,0.28366,0.84298,0.99901,1,0.995,0.88586,0.5065,0.25493,0.85877,0.000218,0.000218,0.000218
92,203.677,0.43152,0.27231,0.83734,0.99899,1,0.995,0.88185,0.51164,0.25368,0.85788,0.0001982,0.0001982,0.0001982
93,205.715,0.42573,0.2757,0.83076,0.99899,1,0.995,0.89661,0.50053,0.25133,0.85713,0.0001784,0.0001784,0.0001784
94,207.715,0.41687,0.26966,0.82362,0.99896,1,0.995,0.89263,0.49474,0.24731,0.85779,0.0001586,0.0001586,0.0001586
95,209.671,0.42175,0.26522,0.8321,0.99902,1,0.995,0.89428,0.49513,0.24843,0.85747,0.0001388,0.0001388,0.0001388
96,211.637,0.40222,0.26253,0.82962,0.99904,1,0.995,0.89162,0.49631,0.25255,0.85742,0.000119,0.000119,0.000119
97,213.647,0.41537,0.26758,0.82434,0.99906,1,0.995,0.89551,0.49396,0.24661,0.8574,9.92e-05,9.92e-05,9.92e-05
98,215.684,0.40731,0.25917,0.80767,0.99906,1,0.995,0.89647,0.49175,0.24204,0.85839,7.94e-05,7.94e-05,7.94e-05
99,217.665,0.40211,0.25672,0.82351,0.99904,1,0.995,0.89677,0.49008,0.23775,0.85963,5.96e-05,5.96e-05,5.96e-05
100,219.655,0.40132,0.25176,0.80697,0.99906,1,0.995,0.89804,0.49005,0.23514,0.8589,3.98e-05,3.98e-05,3.98e-05
