epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,1404.03,0.57958,0.36157,0.92333,0.99899,1,0.995,0.89735,0.49991,0.27525,0.85924,0.0003368,0.0003368,0.0003368
86,1418.38,0.54258,0.34395,0.89644,0.99899,1,0.995,0.89826,0.49275,0.26714,0.85778,0.000317,0.000317,0.000317
87,1432.81,0.57267,0.34388,0.92199,0.99901,1,0.995,0.89863,0.50266,0.27363,0.86042,0.0002972,0.0002972,0.0002972
88,1449.23,0.55851,0.35133,0.90877,0.99902,1,0.995,0.8957,0.48732,0.26653,0.85969,0.0002774,0.0002774,0.0002774
89,1462.84,0.55328,0.34737,0.9153,0.999,1,0.995,0.89921,0.49557,0.27248,0.86225,0.0002576,0.0002576,0.0002576
90,1478.47,0.5315,0.33972,0.89389,0.99901,1,0.995,0.89569,0.50932,0.27362,0.86605,0.0002378,0.0002378,0.0002378
91,1494.56,0.43811,0.28945,0.83584,0.99899,1,0.995,0.89618,0.50807,0.27431,0.86678,0.000218,0.000218,0.000218
92,1508.53,0.42567,0.28831,0.82576,0.99896,1,0.995,0.90154,0.49377,0.27424,0.86549,0.0001982,0.0001982,0.0001982
93,1522.85,0.41767,0.27316,0.81892,0.99896,1,0.995,0.90368,0.48398,0.26692,0.86215,0.0001784,0.0001784,0.0001784
94,1537.47,0.41943,0.26711,0.83994,0.99899,1,0.995,0.90173,0.48483,0.25306,0.8606,0.0001586,0.0001586,0.0001586
95,1552.81,0.41179,0.2577,0.83126,0.999,1,0.995,0.8984,0.47991,0.24847,0.8609,0.0001388,0.0001388,0.0001388
96,1566.02,0.40713,0.25906,0.8395,0.999,1,0.995,0.89264,0.47996,0.24994,0.8627,0.000119,0.000119,0.000119
97,1579.68,0.40709,0.26413,0.83416,0.999,1,0.995,0.88967,0.48252,0.25427,0.86342,9.92e-05,9.92e-05,9.92e-05
98,1593.06,0.40379,0.26356,0.82697,0.999,1,0.995,0.89162,0.47847,0.25674,0.86219,7.94e-05,7.94e-05,7.94e-05
99,1609.93,0.39562,0.2554,0.82955,0.999,1,0.995,0.89593,0.47468,0.25422,0.86149,5.96e-05,5.96e-05,5.96e-05
100,1623.81,0.40439,0.25631,0.83055,0.99899,1,0.995,0.8956,0.47496,0.25382,0.86194,3.98e-05,3.98e-05,3.98e-05
